X,Y
0.000000,10.907070
0.012782,10.613102
0.025565,7.520391
0.038347,2.834296
0.051130,-2.552690
0.063912,-7.407323
0.076694,-10.679354
0.089477,-11.179690
0.102259,-9.241397
0.115042,-5.216743
0.127824,0.189339
0.140606,5.550748
0.153389,9.610683
0.166171,11.419617
0.178953,10.789305
0.191736,7.380632
0.204518,2.273955
0.217301,-3.343135
0.230083,-8.203490
0.242865,-11.323425
0.255648,-11.632867
0.268430,-9.178819
0.281213,-4.761067
0.293995,0.897293
0.306777,6.369541
0.319560,10.380538
0.332342,11.895137
0.345125,10.783381
0.357907,7.182508
0.370689,1.656898
0.383472,-4.101157
0.396254,-9.001073
0.409036,-11.840195
0.421819,-11.893866
0.434601,-9.056050
0.447384,-4.218425
0.460166,1.635704
0.472948,7.205130
0.485731,10.984091
0.498513,12.330101
0.511296,10.715666
0.524078,6.752540
0.536860,0.993645
0.549643,-4.879798
0.562425,-9.705270
0.575208,-12.287997
0.587990,-11.994219
0.600772,-8.878376
0.613555,-3.625916
0.626337,2.373959
0.639120,8.026006
0.651902,11.559489
0.664684,12.533095
0.677467,10.590510
0.690249,6.207697
0.703031,0.292509
0.715814,-5.667387
0.728596,-10.270343
0.741379,-12.691289
0.754161,-12.038039
0.766943,-8.459915
0.779726,-2.994934
0.792508,3.125965
0.805291,8.671474
0.818073,12.100327
0.830855,12.599496
0.843638,10.395049
0.856420,5.619933
0.869203,-0.444765
0.881985,-6.451529
0.894767,-10.803391
0.907550,-12.825892
0.920332,-11.898313
0.933114,-7.984518
0.945897,-2.316844
0.958679,3.878846
0.971462,9.205568
0.984244,12.600145
0.997026,12.611027
1.009809,9.942707
1.022591,5.001012
1.035374,-1.189602
1.048156,-7.130156
1.060938,-11.296896
1.073721,-12.852524
1.086503,-11.654822
1.099286,-7.467654
1.112068,-1.583192
1.124850,4.619416
1.137633,9.703216
1.150415,12.748083
1.163198,12.569837
1.175980,9.445371
1.188762,4.315717
1.201545,-1.924924
1.214327,-7.731180
1.227109,-11.739455
1.239892,-12.825518
1.252674,-11.160489
1.265457,-6.909673
1.278239,-0.843024
1.291021,5.261453
1.303804,10.155937
1.316586,12.734163
1.329369,12.400212
1.342151,8.913060
1.354933,3.565469
1.367716,-2.639283
1.380498,-8.296566
1.393281,-11.884706
1.406063,-12.746101
1.418845,-10.628045
1.431628,-6.187819
1.444410,-0.110067
1.457193,5.845774
1.469975,10.528338
1.482757,12.667337
1.495540,11.995006
1.508322,8.355940
1.521104,2.817422
1.533887,-3.273780
1.546669,-8.732533
1.559452,-11.977067
1.572234,-12.508467
1.585016,-10.066733
1.597799,-5.402751
1.610581,0.602138
1.623364,6.388247
1.636146,10.650702
1.648928,12.547877
1.661711,11.473623
1.674493,7.666210
1.687276,2.084855
1.700058,-3.861518
1.712840,-9.052910
1.725623,-12.014510
1.738405,-12.066624
1.751187,-9.485630
1.763970,-4.628838
1.776752,1.266561
1.789535,6.878792
1.802317,10.719528
1.815099,12.243865
1.827882,10.874247
1.840664,6.916755
1.853447,1.378619
1.866229,-4.400775
1.879011,-9.169600
1.891794,-11.989264
1.904576,-11.590540
1.917359,-8.739654
1.930141,-3.878417
1.942923,1.877335
1.955706,7.257524
1.968488,10.732113
1.981270,11.771795
1.994053,10.259497
2.006835,6.176327
2.019618,0.681344
2.032400,-4.881877
2.045182,-9.231194
2.057965,-11.628196
2.070747,-11.086453
2.083530,-7.956074
2.096312,-3.151346
2.109094,2.432554
2.121877,7.476367
2.134659,10.686378
2.147442,11.270013
2.160224,9.449578
2.173006,5.408733
2.185789,0.030277
2.198571,-5.249167
2.211354,-9.234616
2.224136,-11.136922
2.236918,-10.560399
2.249701,-7.189146
2.262483,-2.411183
2.275265,2.923437
2.288048,7.592171
2.300830,10.422762
2.313613,10.743511
2.326395,8.630231
2.339177,4.639173
2.351960,-0.564642
2.364742,-5.493975
2.377525,-9.177716
2.390307,-10.619629
2.403089,-9.777955
2.415872,-6.448422
2.428654,-1.725210
2.441437,3.307547
2.454219,7.603526
2.467001,10.056287
2.479784,10.175190
2.492566,7.834643
2.505348,3.847851
2.518131,-1.094920
2.530913,-5.675402
2.543696,-8.905828
2.556478,-10.080226
2.569260,-8.927143
2.582043,-5.695076
2.594825,-1.101802
2.607608,3.595869
2.620390,7.552378
2.633172,9.654628
2.645955,9.408969
